1,1
2,1.97181
3,1.41601
4,1.80949
5,2.54143
6,2.63662
7,3.07706
8,3.73298
9,3.87291
10,4.31394
11,4.67744
12,4.6964



1,-nan
2,0.507148
3,0.706208
4,0.552642
5,0.393479
6,0.379274
7,0.324986
8,0.267883
9,0.258204
10,0.231806
11,0.213792
12,0.212929
